factor,factor_group,bucket,n,factor_min,factor_max,factor_median,mean_log_oversubscription,median_oversubscription,median_actual_lottery_rate_pct,median_predicted_lottery_rate_pct
market_turnover_ma20,市场流动性因子,Q1低,247,3807.1180310094996,7780.4899662484995,6901.546972839499,7.22785052770793,2031.9026,0.04921496,0.050423731168962434
market_turnover_ma20,市场流动性因子,Q2,247,7797.2220799775005,8984.582984538,8375.711300709,7.83296574072871,3278.8881,0.03049814,0.030783176358120667
market_turnover_ma20,市场流动性因子,Q3,247,8995.5235438045,9953.749889923,9534.638075394,7.93960025328073,3247.1709,0.03079604,0.03155222839275636
market_turnover_ma20,市场流动性因子,Q4,247,9955.03840754,11524.0754749335,10652.8651683395,7.743260329949958,3009.1285,0.03323221,0.03305066279269309
market_turnover_ma20,市场流动性因子,Q5高,247,11538.652640438,30448.000229708,13628.770250548501,8.250322055937264,4003.0183,0.02498115,0.02485579026315909
market_turnover_pct_rank_1y,市场流动性因子,Q1低,249,0.003968253968253968,0.2896825396825397,0.1984126984126984,7.820238907303825,2918.7579,0.03426115,0.034602312355555706
market_turnover_pct_rank_1y,市场流动性因子,Q2,245,0.29017857142857145,0.5119047619047619,0.38095238095238093,7.6815239544115395,2937.3016,0.03404485,0.03376171374376485
market_turnover_pct_rank_1y,市场流动性因子,Q3,254,0.5158730158730159,0.6746031746031746,0.6091269841269842,7.927211358313083,3448.3611499999997,0.02899933,0.03037857652401055
market_turnover_pct_rank_1y,市场流动性因子,Q4,241,0.6785714285714286,0.8531746031746031,0.7738095238095238,7.86807802246732,3186.0575,0.03138675,0.03135777766549135
market_turnover_pct_rank_1y,市场流动性因子,Q5高,246,0.8571428571428571,1.0,0.9484126984126984,7.693440589441899,3156.84915,0.031680005,0.031300367414157634
market_turnover_ma20_over_ma60,市场流动性因子,Q1低,247,-0.26144361080770573,-0.10369514476624031,-0.14421411866442047,7.68516654172887,2896.7681,0.03452123,0.03416844305168343
market_turnover_ma20_over_ma60,市场流动性因子,Q2,248,-0.10360803914899563,-0.040641928616410694,-0.07010798458333478,7.888499592953733,2999.33115,0.033340765,0.033434308309474484
market_turnover_ma20_over_ma60,市场流动性因子,Q3,246,-0.04045476018399485,0.03914360045294263,-0.0011794628893256331,7.92631007910718,3092.8238499999998,0.03233291,0.03304665044962572
market_turnover_ma20_over_ma60,市场流动性因子,Q4,248,0.03923360812751686,0.12783345871901597,0.0951143660475392,7.938323664456294,3511.41115,0.028478665,0.02907528128313587
market_turnover_ma20_over_ma60,市场流动性因子,Q5高,246,0.1280815958079926,0.7831970044017289,0.19292351118548745,7.554297345826218,2941.9772000000003,0.03399348,0.03256139328768376
market_return_ma20,市场情绪因子,Q1低,253,-9.535191628328388,-1.6751050240882193,-3.570879363716273,7.756638782606954,2848.9944,0.0351001,0.03501421350160019
market_return_ma20,市场情绪因子,Q2,241,-1.6735393211501304,0.020508306024002998,-0.6397677020315018,7.72955410186698,2968.4091,0.03368808,0.033829423888667075
market_return_ma20,市场情绪因子,Q3,247,0.02802006423274772,1.6188754473190459,0.8570166863893558,8.033555093074192,3463.7525,0.02887042,0.029237286364831413
market_return_ma20,市场情绪因子,Q4,247,1.6442729855724147,3.800623896131583,2.5704245433778805,7.97081581393982,3227.4874,0.03098385,0.031334727501579014
market_return_ma20,市场情绪因子,Q5高,247,3.8090898715773536,21.109183604140046,6.065807531758161,7.502777188649277,2934.4793,0.0340776,0.03388819814756302
recent_ipo_first_day_return_ma20,市场情绪因子,Q1低,243,-9.245637052239914,35.769687373309814,23.755676808733856,7.099842858512041,2564.4742,0.03899435,0.03879952120508049
recent_ipo_first_day_return_ma20,市场情绪因子,Q2,243,35.790406927186396,78.75360606873896,54.685786490710726,7.902476942897917,2918.7579,0.03426115,0.034487660692384466
recent_ipo_first_day_return_ma20,市场情绪因子,Q3,243,78.91415978755569,157.61229624036207,127.95209698114203,7.829821330270013,3261.0733,0.03066475,0.030581696269621827
recent_ipo_first_day_return_ma20,市场情绪因子,Q4,243,157.75093222945446,231.79297801805956,197.38397587551324,8.042383047230002,3508.6578,0.02850093,0.028002065995663003
recent_ipo_first_day_return_ma20,市场情绪因子,Q5高,243,232.18725280324543,412.9513853554142,285.7168151980131,8.23946156092781,4161.0228,0.02403255,0.02400557063268805
concurrent_ipo_count,IPO供给拥挤因子,Q1低,287,0.0,5.0,3.0,8.05966517907342,3479.7969,0.02873731,0.0288794763656269
concurrent_ipo_count,IPO供给拥挤因子,Q2,218,6.0,9.0,7.0,7.867226851422508,2941.1727499999997,0.03400863,0.034346067521189134
concurrent_ipo_count,IPO供给拥挤因子,Q3,331,10.0,14.0,12.0,7.905205650634257,3087.6006,0.03238761,0.03218063483670342
concurrent_ipo_count,IPO供给拥挤因子,Q4,217,15.0,17.0,16.0,7.966586520199043,3294.4388,0.03035418,0.03128319045929545
concurrent_ipo_count,IPO供给拥挤因子,Q5高,182,18.0,43.0,20.0,6.911901235884745,2152.2976,0.04647898,0.04664303697399247
same_board_concurrent_ipo_count,IPO供给拥挤因子,Q1低,318,0.0,2.0,1.0,7.997761951523372,3599.0907500000003,0.027784805000000003,0.02834067578959663
same_board_concurrent_ipo_count,IPO供给拥挤因子,Q2,199,3.0,4.0,4.0,7.850349003578594,2982.9487,0.03352387,0.03379647768021883
same_board_concurrent_ipo_count,IPO供给拥挤因子,Q3,251,5.0,6.0,5.0,7.959387899673407,3025.1845,0.03305584,0.032955824273255954
same_board_concurrent_ipo_count,IPO供给拥挤因子,Q4,294,7.0,9.0,8.0,8.049447156754256,3381.2431500000002,0.02957492,0.030674871199833382
same_board_concurrent_ipo_count,IPO供给拥挤因子,Q5高,173,10.0,25.0,13.0,6.7148332426473125,1850.037,0.05405297,0.054079006552345626
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,Q1低,246,1064.0,14647.7627,8403.8508,7.977952214996249,3359.7122,0.02976447,0.029635561560884316
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,Q2,245,14715.836,30016.8481,21647.141300000003,7.833121393479187,3004.5789,0.03328253,0.033230322359139655
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,Q3,245,30075.1262,41372.0759,36214.95480000001,7.94203331449026,3073.8828,0.03253214,0.03250396927399879
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,Q4,245,41400.2015,61019.261,46743.143,7.954148512203777,3158.2931,0.03166267,0.03181735239775172
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,Q5高,246,61034.2709,199924.88909999997,102611.47379999999,7.269966474091827,2681.4429,0.0372935,0.03598531362758116
total_issue_shares_10k,发行供给因子,Q1低,248,120.0,2050.0,1700.0,7.557860562909005,2814.5392,0.035530275,0.035023487920660804
total_issue_shares_10k,发行供给因子,Q2,247,2060.0,2750.0,2411.8254,8.02413829017922,3454.0039,0.02895191,0.029926633811530767
total_issue_shares_10k,发行供给因子,Q3,270,2756.665,4001.0,3361.716,7.815386032657859,3353.0471,0.02982451,0.031221784179609222
total_issue_shares_10k,发行供给因子,Q4,223,4001.1206,5910.0,4521.2292,7.857858777773474,3137.7098,0.03187038,0.032888614766706896
total_issue_shares_10k,发行供给因子,Q5高,247,5931.41,571428.5714,9250.0,7.743924763730876,2663.4262,0.03754562,0.03741933324320627
offline_issue_before_clawback_10k,发行供给因子,Q1低,248,96.0,1330.0,1104.83135,7.572246597455115,2978.59,0.03357295,0.033254380949475554
offline_issue_before_clawback_10k,发行供给因子,Q2,246,1330.2065,1820.49,1581.5875,7.948616433873851,3307.7433,0.03023209,0.030654965582548415
offline_issue_before_clawback_10k,发行供给因子,Q3,247,1823.25,2611.5232,2169.4388,7.8871394217167,3454.2136,0.02895015,0.029618499500612485
offline_issue_before_clawback_10k,发行供给因子,Q4,247,2615.719,3859.4478,3066.8334,7.860053969927315,3126.9223,0.03198033,0.032888614766706896
offline_issue_before_clawback_10k,发行供给因子,Q5高,247,3870.65,173913.0607,6086.5539,7.727466249151523,2627.1331,0.03806431,0.03814504698347292
offline_issue_before_share_pct,发行供给因子,Q1低,275,30.0,60.0,57.77160073221938,7.651719423892363,3925.6751,0.02547333,0.025088567562333578
offline_issue_before_share_pct,发行供给因子,Q2,219,60.00000000000001,65.03386783042394,63.193433088290675,7.996678756972646,3379.1785,0.02959299,0.029594712874628636
offline_issue_before_share_pct,发行供给因子,Q3,247,65.03701247762565,68.00024673081668,66.50176189157443,7.714564468045089,2686.7367,0.03721987,0.036951045882888604
offline_issue_before_share_pct,发行供给因子,Q4,247,68.00044,71.50033119894016,71.5,7.929053135750491,3225.3303,0.03100458,0.03186330613241658
offline_issue_before_share_pct,发行供给因子,Q5高,247,71.50033829499324,81.58640226628894,73.00049987503124,7.741087824669698,2858.7881,0.03497986,0.03544760988990902
strategic_allocation_share_pct,发行供给因子,Q1低,250,1.5444441453566622,5.0,4.465401353057029,7.551548937177183,2399.1834,0.041682155,0.04013955469147346
strategic_allocation_share_pct,发行供给因子,Q2,110,5.000000650861521,9.0,7.105942382747209,7.793345816694001,2696.1859,0.037089885,0.03672682738896822
strategic_allocation_share_pct,发行供给因子,Q3,180,9.003216666666667,13.816186794984187,10.316949183350996,7.924418629634299,3157.29365,0.03167586,0.03264103482588051
strategic_allocation_share_pct,发行供给因子,Q4,180,13.860581883623277,18.4991725,15.0,7.993720218002399,3802.44785,0.026298855000000003,0.025890862307931292
strategic_allocation_share_pct,发行供给因子,Q5高,180,18.596584444444446,50.0,20.0,7.523527900566636,2931.0507,0.034117505,0.035022618292752064
subscription_upper_limit_10k,申购规则因子,Q1低,278,1.2,600.0,500.0,7.548125082504421,2800.1616000000004,0.0357123,0.035023487920660804
subscription_upper_limit_10k,申购规则因子,Q2,228,610.0,800.0,700.0,7.817549035461411,3245.4629,0.030812270000000003,0.031535890871891306
subscription_upper_limit_10k,申购规则因子,Q3,262,810.0,1200.0,1000.0,8.072095635483214,3551.11575,0.02816022,0.028550780838539264
subscription_upper_limit_10k,申购规则因子,Q4,232,1210.0,1800.0,1500.0,7.978271350607195,3231.0808500000003,0.030949400000000002,0.03153821728668024
subscription_upper_limit_10k,申购规则因子,Q5高,235,1900.0,50000.0,3000.0,7.595275605614602,2630.8224,0.03801093,0.037924854797006545
industry_pe_at_ipo,估值因子,Q1低,235,5.39,25.93,20.68,8.091442921174606,3330.9126,0.0300218,0.030683612559236267
industry_pe_at_ipo,估值因子,Q2,235,25.96,31.82,28.97,7.950673045748851,3116.2557,0.03208979,0.03251017089102943
industry_pe_at_ipo,估值因子,Q3,234,31.83,37.96,35.02,7.895714374454248,3178.84425,0.031458785,0.03219877601203126
industry_pe_at_ipo,估值因子,Q4,235,37.99,47.33,42.05,7.965895565865566,3015.7198,0.03315958,0.03287575816371704
industry_pe_at_ipo,估值因子,Q5高,235,47.38,143.2,53.93,7.9596678501942435,3254.3706,0.03072791,0.031073884566281386
comparable_pe_avg_ex_nonrecurring,估值因子,Q1低,225,7.63,32.78,25.57,8.154593015138381,3468.5956,0.02883011,0.0293670362641143
comparable_pe_avg_ex_nonrecurring,估值因子,Q2,225,32.81,46.52,39.24,8.150795004329353,3544.8336,0.02821007,0.028936049626343753
comparable_pe_avg_ex_nonrecurring,估值因子,Q3,224,46.55,65.85,55.129999999999995,7.941174979023147,3172.12095,0.03152482,0.03162402207154013
comparable_pe_avg_ex_nonrecurring,估值因子,Q4,225,65.9,102.64,79.66,7.843692462042084,3068.944,0.0325845,0.033230322359139655
comparable_pe_avg_ex_nonrecurring,估值因子,Q5高,225,103.11,2526.29,155.57,7.832952763413917,2783.8478,0.0359215,0.03496500447444428
