factor,factor_group,bucket,n,factor_min,factor_max,factor_median,target_mean,target_median
expected_fundraising_100m_yuan,发行规模,1,239,2.530253,4.95574798,4.140139,8.032294224197194,8.175393686063227
expected_fundraising_100m_yuan,发行规模,2,239,4.961027,6.435713,5.685053,8.167102327486727,8.202158668138559
expected_fundraising_100m_yuan,发行规模,3,238,6.440095,8.582144,7.2703615,8.01384189154782,8.061451432746637
expected_fundraising_100m_yuan,发行规模,4,239,8.589366,13.464153,10.502465,7.925999313768305,7.99400067860426
expected_fundraising_100m_yuan,发行规模,5,239,13.485654,207.145868,20.629168,7.682532725467323,7.780770884867961
log_expected_fundraising,发行规模,1,239,1.2613695397650362,1.7843568002932046,1.63708012190298,8.032294224197194,8.175393686063227
log_expected_fundraising,发行规模,2,239,1.7852427816689005,2.0062944730949868,1.8998741387199354,8.167102327486727,8.202158668138559
log_expected_fundraising,发行规模,3,238,2.006883617580684,2.259901366525842,2.1126782061997633,8.01384189154782,8.061451432746637
log_expected_fundraising,发行规模,4,239,2.2606547761781455,2.6716733815805997,2.4425613602260783,7.925999313768305,7.99400067860426
log_expected_fundraising,发行规模,5,239,2.6731587803574093,5.3382391223750085,3.074042774130391,7.682532725467323,7.780770884867961
industry_pe_at_ipo_factor,估值,1,235,5.39,25.93,20.68,8.091442921174606,8.111001599482591
industry_pe_at_ipo_factor,估值,2,235,25.96,31.82,28.97,7.950673045748851,8.044387463957635
industry_pe_at_ipo_factor,估值,3,234,31.83,37.96,35.02,7.895714374454248,8.064260057322063
industry_pe_at_ipo_factor,估值,4,235,37.99,47.33,42.05,7.965895565865566,8.011593820302672
industry_pe_at_ipo_factor,估值,5,235,47.38,143.2,53.93,7.959667850194243,8.087754171890131
comparable_pe_avg_ex_nonrecurring_factor,估值,1,225,7.63,32.81,25.57,8.169750310269096,8.151505064792357
comparable_pe_avg_ex_nonrecurring_factor,估值,2,224,32.9,46.52,39.335,8.154347324919758,8.174320092288285
comparable_pe_avg_ex_nonrecurring_factor,估值,3,224,46.55,65.9,55.129999999999995,7.970620894519734,8.06215299617132
comparable_pe_avg_ex_nonrecurring_factor,估值,4,224,65.92,102.64,79.675,7.843262740005943,8.02989280230954
comparable_pe_avg_ex_nonrecurring_factor,估值,5,225,103.11,2526.29,155.57,7.832952763413917,7.931589350419647
latest_revenue_100m_yuan,公司规模,1,237,0.004752,3.390489,2.468981,7.834935592836082,7.984285305960901
latest_revenue_100m_yuan,公司规模,2,237,3.401916,5.394109,4.254975,7.994197674009706,8.108405068203998
latest_revenue_100m_yuan,公司规模,3,237,5.396814,8.637829,6.721549,8.05235616094977,8.10705695053451
latest_revenue_100m_yuan,公司规模,4,237,8.64,15.874398,10.957998,7.954369755369535,8.046531553730423
latest_revenue_100m_yuan,公司规模,5,237,15.881777,1707.4342,28.636872,7.99414274031895,8.031903531836742
log_latest_revenue,公司规模,1,237,0.004740744890103976,1.4794406104053681,1.2438608908898805,7.834935592836082,7.984285305960901
log_latest_revenue,公司规模,2,237,1.482039900686854,1.855377097724127,1.6591752469436685,7.994197674009706,8.108405068203998
log_latest_revenue,公司规模,3,237,1.8558000539158461,2.2656958757905645,2.0440149915780275,8.05235616094977,8.10705695053451
log_latest_revenue,公司规模,4,237,2.265921108622454,2.8257975620481846,2.48140034320665,7.954369755369535,8.046531553730423
log_latest_revenue,公司规模,5,237,2.826234756138897,7.443332557497915,3.3890192617954527,7.99414274031895,8.031903531836742
revenue_cagr_3y_pct,成长,1,71,-12.71,24.47,19.31,8.239543668830803,8.28039602730711
revenue_cagr_3y_pct,成长,2,71,24.51,31.28,27.55,7.9919764208128194,8.045098064513308
revenue_cagr_3y_pct,成长,3,71,31.3,42.62,36.36,7.9751315030894006,8.002328019651332
revenue_cagr_3y_pct,成长,4,71,42.68,70.25,56.16,7.9981828296442234,8.027398525207154
revenue_cagr_3y_pct,成长,5,71,70.6,4074.52,116.9,7.751124737769353,7.8286012997556504
issue_pb_factor,估值,1,239,0.84,1.98,1.65,8.331413373254225,8.417479524477905
issue_pb_factor,估值,2,238,1.98,2.48,2.23,8.155186205722492,8.196265371822955
issue_pb_factor,估值,3,238,2.48,2.88,2.7,7.964851896118752,8.06805311758185
issue_pb_factor,估值,4,238,2.89,3.41,3.11,7.8301800693718,7.934363559167528
issue_pb_factor,估值,5,238,3.41,12.6,3.9450000000000003,7.535799146491417,7.702272920161904
board_turnover_ma20,板块流动性,1,223,101.862,415.709,271.2285,7.89929569722619,7.935868025991329
board_turnover_ma20,板块流动性,2,223,416.15600000000006,683.0545,536.0310000000001,7.877064072914579,7.921006174143442
board_turnover_ma20,板块流动性,3,222,685.1434999999999,1997.1135000000002,1565.4985000000001,8.047430152678466,8.089296528598913
board_turnover_ma20,板块流动性,4,223,2001.084,2581.4089999999997,2299.6575000000003,7.991285688208945,8.029496128480801
board_turnover_ma20,板块流动性,5,223,2581.4089999999997,17592.359,5136.5470000000005,8.579373468111786,8.576469403360086
board_turnover_pct_rank_1y,板块流动性,1,219,0.003968253968253968,0.32936507936507936,0.17857142857142858,8.197117483935973,8.210558704534865
board_turnover_pct_rank_1y,板块流动性,2,219,0.32936507936507936,0.5952380952380952,0.46524064171123,8.046357707293105,8.096879831599814
board_turnover_pct_rank_1y,板块流动性,3,219,0.5952380952380952,0.7738095238095238,0.6904761904761905,8.089704430169078,8.099880891651422
board_turnover_pct_rank_1y,板块流动性,4,219,0.7738095238095238,0.8888888888888888,0.8412698412698413,8.050534891277092,8.078790642590096
board_turnover_pct_rank_1y,板块流动性,5,219,0.8888888888888888,1.0,0.9801587301587301,8.08153013743112,8.060424157285059
board_turnover_ma20_over_ma60,板块流动性,1,221,-0.480934157490025,-0.12735874621210352,-0.18385831768188998,8.006432439246103,8.047486989934479
board_turnover_ma20_over_ma60,板块流动性,2,221,-0.12724847970189923,-0.03426477880131085,-0.07941810655744408,8.178859270120652,8.15025016786183
board_turnover_ma20_over_ma60,板块流动性,3,220,-0.0342628886549694,0.05701663230683973,0.013079049221619954,8.105087138537076,8.100453391517023
board_turnover_ma20_over_ma60,板块流动性,4,221,0.05732971610124604,0.20350077529205302,0.13694072065476148,8.156266097146144,8.172985380237511
board_turnover_ma20_over_ma60,板块流动性,5,221,0.20474437020070213,0.9803417929267795,0.3278003132078906,7.987420685806319,7.995763442119908
board_return_ma20,板块情绪,1,223,-25.880000000000003,-5.009999999999998,-8.12,8.005995974415038,8.035866724100071
board_return_ma20,板块情绪,2,223,-4.970000000000003,-1.4600000000000009,-2.880000000000001,8.172540402302362,8.108405068203998
board_return_ma20,板块情绪,3,222,-1.4500000000000046,1.9400000000000008,0.3000000000000005,8.09032487741913,8.101234179859183
board_return_ma20,板块情绪,4,223,1.9499999999999984,6.5,3.7799999999999994,8.129945400274964,8.112155601908972
board_return_ma20,板块情绪,5,223,6.5,45.62,9.389999999999999,7.995834777754216,8.11044673272894
underwriter_prior_ipo_count,承销商声誉,1,247,0.0,3.0,1.0,6.731700775612574,7.527406661510002
underwriter_prior_ipo_count,承销商声誉,2,247,3.0,12.0,7.0,7.962931147888156,8.100915669267954
underwriter_prior_ipo_count,承销商声誉,3,247,12.0,26.0,18.0,8.143585495812964,8.162033498904009
underwriter_prior_ipo_count,承销商声誉,4,247,26.0,55.0,38.0,8.091732372160319,8.087407531744413
underwriter_prior_ipo_count,承销商声誉,5,247,55.0,150.0,77.0,8.064049116130576,8.069341208751498
underwriter_prior_log_oversub_mean,承销商声誉,1,224,4.963779857134553,7.239805801914696,6.696225268955258,7.423798668631776,7.614453675601599
underwriter_prior_log_oversub_mean,承销商声誉,2,223,7.239977256160583,7.659788038540615,7.514365251517208,8.123934203635509,8.176452196597355
underwriter_prior_log_oversub_mean,承销商声誉,3,224,7.659828594257387,7.7734459183853435,7.734682988290677,7.997463536431023,8.018640857909705
underwriter_prior_log_oversub_mean,承销商声誉,4,223,7.773804733285886,7.971225236466463,7.83346107746669,8.211633350380657,8.180893203959286
underwriter_prior_log_oversub_mean,承销商声誉,5,224,7.972161664707267,8.900600321235109,8.115436608643884,8.29448415771736,8.201026404517979
underwriter_prior_first_day_return_mean,承销商声誉,1,224,-28.8916093794143,127.47026720229643,109.22724203394341,7.874429713001281,8.00562529686615
underwriter_prior_first_day_return_mean,承销商声誉,2,223,127.47993230991833,145.57402029623194,138.82758210950195,8.090577600423318,8.12039133871012
underwriter_prior_first_day_return_mean,承销商声誉,3,224,145.64271803781665,168.01684237388253,155.62811518458182,7.9332784338599796,7.992857183687666
underwriter_prior_first_day_return_mean,承销商声誉,4,223,168.15160260588985,203.02672920432474,183.64067316026612,7.99242503729262,8.064483822613887
underwriter_prior_first_day_return_mean,承销商声誉,5,224,203.21210014206312,923.908236594804,235.26711040084817,8.159475610271357,8.193581310979111
underwriter_prior_break_rate,承销商声誉,1,224,0.0,0.0,0.0,7.3904143222116465,7.595164502879447
underwriter_prior_break_rate,承销商声誉,2,223,0.0,0.0,0.0,8.381425748324375,8.443848500197186
underwriter_prior_break_rate,承销商声誉,3,224,0.0,0.058823529411764705,0.0,8.07317826105032,8.058919742973051
underwriter_prior_break_rate,承销商声誉,4,223,0.058823529411764705,0.13636363636363635,0.1,8.071913873249091,8.046531553730423
underwriter_prior_break_rate,承销商声誉,5,224,0.13636363636363635,1.0,0.16295563252515258,8.13490748011963,8.096062395034554
sw_l1_prior_ipo_count,行业历史热度,1,247,0.0,9.0,3.0,6.722398760829332,7.637192439982922
sw_l1_prior_ipo_count,行业历史热度,2,247,9.0,29.0,18.0,7.923434111098341,7.921006174143442
sw_l1_prior_ipo_count,行业历史热度,3,247,30.0,61.0,44.0,8.180755117160718,8.216402724807985
sw_l1_prior_ipo_count,行业历史热度,4,247,61.0,106.0,82.0,8.078378804152761,8.08023493943345
sw_l1_prior_ipo_count,行业历史热度,5,247,107.0,212.0,142.0,8.089032114363437,8.069910437041079
sw_l1_prior_log_oversub_mean,行业历史热度,1,234,5.182807183504169,7.222459159441397,6.6912510978276885,7.316198441341913,7.557321636571777
sw_l1_prior_log_oversub_mean,行业历史热度,2,233,7.223962685633644,7.639206267167445,7.518703713930815,8.067961287651887,8.180185291352977
sw_l1_prior_log_oversub_mean,行业历史热度,3,234,7.639517348352851,7.782152848629558,7.712516846761063,8.031175339977175,8.044789098900562
sw_l1_prior_log_oversub_mean,行业历史热度,4,233,7.785226065446946,7.941818584761829,7.865234949893639,8.093914031743731,8.096573744162123
sw_l1_prior_log_oversub_mean,行业历史热度,5,234,7.943345133177144,8.632779558383826,8.103740458357633,8.422806777701622,8.288559690982257
sw_l1_prior_first_day_return_mean,行业历史热度,1,234,6.41871625674863,132.08635160389042,120.40577348000892,7.806576336856402,7.9985708530805155
sw_l1_prior_first_day_return_mean,行业历史热度,2,233,132.15184818969203,150.55638597678217,140.80724925403388,8.027331553556161,8.047486989934479
sw_l1_prior_first_day_return_mean,行业历史热度,3,234,150.56504503824493,172.75459538073895,161.04696947923324,7.950928134350398,8.009948235079694
sw_l1_prior_first_day_return_mean,行业历史热度,4,233,172.78806980698806,195.70099363282625,182.84260122855733,8.02670070218139,8.134263707856803
sw_l1_prior_first_day_return_mean,行业历史热度,5,234,195.78956517033583,1298.9780987220295,224.77272047264506,8.120058283678567,8.199283264356023
sw_l1_prior_break_rate,行业历史热度,1,234,0.0,0.0,0.0,7.2945133102808155,7.545356915402563
sw_l1_prior_break_rate,行业历史热度,2,233,0.0,0.0,0.0,8.341619314447831,8.423229814265925
sw_l1_prior_break_rate,行业历史热度,3,234,0.0,0.08403361344537816,0.041166501906510375,8.040881003403406,8.010499800619279
sw_l1_prior_break_rate,行业历史热度,4,233,0.08411214953271028,0.12280701754385964,0.10256410256410256,8.104063311436379,8.0925296674394
sw_l1_prior_break_rate,行业历史热度,5,234,0.12280701754385964,0.2857142857142857,0.1355990783410138,8.152191790585027,8.12481226301069
